Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_2153,ND (below stat. threshold of conf.),-0.284,Uncharacterized protein,N/A,1.14E-01,2.28E-01,-0.15521244,No,non-essential
Synpcc7942_2154,ND (below stat. threshold of conf.),0.421,Uncharacterized protein,N/A,1.29E-01,2.47E-01,0.140723322,No,non-essential
Synpcc7942_2155,ND (below stat. threshold of conf.),-0.043,Uncharacterized protein,N/A,7.41E-01,8.24E-01,0.197811093,No,non-essential
Synpcc7942_2156,Negligable/minor,0.413,Glutamine synthetase (EC 6.3.1.2),N/A,2.82E-05,1.85E-04,0.19936476,No,non-essential
Synpcc7942_2157,ND (below stat. threshold of conf.),0.141,Uncharacterized protein,N/A,4.31E-01,5.82E-01,0.071155842,No,non-essential
Synpcc7942_2158,ND (below stat. threshold of conf.),-0.056,"Allophycocyanin, beta subunit (Phycobilisome core component)",N/A,6.54E-01,7.60E-01,0.230275971,No,non-essential
Synpcc7942_2159,ND (below stat. threshold of conf.),-0.084,ORF310 protein (Uncharacterized protein),N/A,2.43E-01,3.89E-01,0.326725125,No,non-essential
Synpcc7942_2160,Increase,1.487,Alanine-glyoxylate aminotransferase (EC 2.6.1.44),nhtA,1.49E-05,1.03E-04,0.464480449,No,beneficial
Synpcc7942_2161,ND (below stat. threshold of conf.),0.182,Uncharacterized protein,N/A,3.19E-01,4.73E-01,0.306832564,No,non-essential
Synpcc7942_2162,ND (below stat. threshold of conf.),-0.081,Uncharacterized protein,N/A,7.39E-01,8.24E-01,-0.072608848,No,non-essential
Synpcc7942_2163,ND (below stat. threshold of conf.),-0.059,Uncharacterized protein,N/A,6.20E-01,7.36E-01,0.067361213,No,non-essential
Synpcc7942_2164,ND (below stat. threshold of conf.),-0.069,Cell death suppressor protein Lls1-like,N/A,2.58E-01,4.04E-01,0.168366204,No,non-essential
Synpcc7942_2165,ND (below stat. threshold of conf.),-0.078,Uncharacterized protein,N/A,4.39E-01,5.90E-01,-0.005127454,No,non-essential
Synpcc7942_2166,ND (below stat. threshold of conf.),-0.141,Uncharacterized protein,N/A,7.96E-02,1.70E-01,-0.061457484,No,non-essential
Synpcc7942_2167,ND (below stat. threshold of conf.),-0.295,Uncharacterized protein,N/A,4.52E-03,1.65E-02,0.00473334,No,non-essential
Synpcc7942_2168,ND (below stat. threshold of conf.),0.160,DNA helicase (EC 3.6.4.12),N/A,5.86E-01,7.11E-01,-0.070459953,No,ambiguous
Synpcc7942_2169,ND (below stat. threshold of conf.),-0.115,Uncharacterized protein,N/A,2.12E-01,3.54E-01,-0.231845552,No,non-essential
Synpcc7942_2170,ND (below stat. threshold of conf.),-0.145,"Putative ferric uptake regulator, FUR family",N/A,2.51E-02,6.96E-02,-0.012129114,No,non-essential
Synpcc7942_2171,ND (below stat. threshold of conf.),-0.259,DNA protection during starvation protein (EC 1.16.-.-) (Nutrient stress-induced DNA-binding protein),N/A,7.61E-02,1.64E-01,0.018525443,No,non-essential
Synpcc7942_2172,ND (below stat. threshold of conf.),-0.392,Uncharacterized protein,N/A,3.13E-02,8.25E-02,0.280870019,No,non-essential
Synpcc7942_2173,ND (below stat. threshold of conf.),0.019,Uncharacterized protein,N/A,8.96E-01,9.34E-01,0.162937862,No,non-essential
Synpcc7942_2174,ND (below stat. threshold of conf.),0.075,"Putative transcriptional regulator, Crp/Fnr family",N/A,4.22E-01,5.75E-01,-0.33626415,No,non-essential
Synpcc7942_2175,Negligable/minor,0.320,Iron deficiency-induced protein A,N/A,1.05E-03,4.92E-03,0.495374317,No,non-essential
Synpcc7942_2176,ND (below stat. threshold of conf.),-0.202,Uncharacterized protein,N/A,4.01E-03,1.51E-02,-0.194624499,No,non-essential
Synpcc7942_2177,ND (below stat. threshold of conf.),-0.075,Integral membrane protein of the ABC-type Nat permease for neutral amino acids NatD,N/A,3.49E-01,5.02E-01,0.127827656,No,non-essential
Synpcc7942_2178,ND (below stat. threshold of conf.),-0.127,Uncharacterized protein,N/A,5.37E-01,6.73E-01,0.462404357,No,non-essential
Synpcc7942_2179,ND (below stat. threshold of conf.),-0.173,Uncharacterized protein,N/A,3.67E-02,9.35E-02,-0.002597121,No,non-essential
Synpcc7942_2180,ND (below stat. threshold of conf.),0.095,Bacterioferritin comigratory protein,N/A,4.64E-01,6.10E-01,0.092137634,No,non-essential
Synpcc7942_2181,Negligable/minor,-0.419,Uncharacterized protein,N/A,9.78E-08,9.16E-07,-0.148267806,No,non-essential
Synpcc7942_2182,ND (below stat. threshold of conf.),0.341,Uncharacterized protein,N/A,2.20E-01,3.62E-01,-0.361969107,No,non-essential
Synpcc7942_2183,ND (below stat. threshold of conf.),0.205,Ribonuclease H (RNase H) (EC 3.1.26.4),N/A,2.58E-02,7.08E-02,-0.159645989,No,non-essential
Synpcc7942_2184,Negligable/minor,0.294,Uncharacterized protein,N/A,1.13E-04,6.61E-04,0.352212292,No,non-essential
Synpcc7942_2185,ND (below stat. threshold of conf.),-0.180,Uncharacterized protein,N/A,3.99E-01,5.52E-01,-1.101254132,No,non-essential
Synpcc7942_2186,ND (below stat. threshold of conf.),-0.174,Probable Na+/H+-exchanging protein,N/A,3.83E-03,1.47E-02,-0.008587677,No,non-essential
Synpcc7942_2187,ND (below stat. threshold of conf.),-0.149,Uncharacterized protein,N/A,1.82E-01,3.19E-01,0.040893149,No,non-essential
Synpcc7942_2188,Not analyzed,,isochorismate synthase,"menF, entC",,,0.169591868,No,essential
Synpcc7942_2189,ND (below stat. threshold of conf.),-0.185,Uncharacterized protein,N/A,1.55E-01,2.83E-01,-0.065174358,No,non-essential
Synpcc7942_2190,ND (below stat. threshold of conf.),-0.240,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase),N/A,7.58E-02,1.64E-01,0.173156459,No,non-essential
Synpcc7942_2191,ND (below stat. threshold of conf.),-0.038,Uncharacterized protein,N/A,6.21E-01,7.36E-01,-0.050181793,No,non-essential
Synpcc7942_2192,ND (below stat. threshold of conf.),-0.090,Diguanylate cyclase (GGDEF domain),N/A,2.34E-01,3.80E-01,-0.737907755,No,non-essential
Synpcc7942_2193,ND (below stat. threshold of conf.),-0.083,Metal dependent phosphohydrolase,N/A,1.21E-01,2.38E-01,-0.168820298,No,non-essential
Synpcc7942_2194,ND (below stat. threshold of conf.),0.197,Uncharacterized protein,N/A,1.77E-01,3.11E-01,-0.199601649,No,non-essential
Synpcc7942_2195,ND (below stat. threshold of conf.),-0.050,Putative adenylate/guanylate cyclase,N/A,3.14E-01,4.67E-01,-0.048074838,No,non-essential
Synpcc7942_2196,ND (below stat. threshold of conf.),-0.097,Uncharacterized protein,N/A,3.81E-01,5.32E-01,-0.627908977,No,non-essential
Synpcc7942_2197,Not analyzed,,gamma-glutamyl kinase,proB,,,-0.02792889,No,essential
Synpcc7942_2198,ND (below stat. threshold of conf.),0.140,Uncharacterized protein,N/A,1.56E-01,2.84E-01,-0.118613395,No,non-essential
Synpcc7942_2199,Not analyzed,,DNA polymerase III subunit alpha,dnaE,,,-0.359920988,No,essential
Synpcc7942_2200,ND (below stat. threshold of conf.),0.072,Uncharacterized protein,N/A,5.42E-01,6.77E-01,-0.602133088,No,non-essential
Synpcc7942_2201,Not analyzed,,alanine racemase,"alr, dal",,,-0.279891716,No,essential
Synpcc7942_2202,ND (below stat. threshold of conf.),0.435,HNH nuclease,N/A,4.17E-03,1.54E-02,-0.122877373,No,non-essential
Synpcc7942_2203,Not analyzed,,peptide chain release factor 1,prfA,,,-0.291248629,No,essential
Synpcc7942_2204,Not analyzed,,50S ribosomal protein L31,"rpmE, rpl31",,,-0.203369117,No,essential
Synpcc7942_2205,Not analyzed,,30S ribosomal protein S9,"rpsI, rps9",,,0.023351445,No,essential
Synpcc7942_2206,Not analyzed,,50S ribosomal protein L13,"rplM, rpl13",,,-0.048455745,No,essential
Synpcc7942_2207,Not analyzed,,tRNA pseudouridine synthase A,truA,,,-0.123311275,No,essential
Synpcc7942_2208,Not analyzed,,50S ribosomal protein L17,"rplQ, rpl17",,,-0.14969814,No,essential
Synpcc7942_2209,Not analyzed,,DNA-directed RNA polymerase subunit alpha,rpoA,,,-0.065455342,No,essential
Synpcc7942_2210,Not analyzed,,30S ribosomal protein S11,"rps11, rpsK",,,-0.097223983,No,essential
Synpcc7942_2211,Not analyzed,,30S ribosomal protein S13,"rpsM, rps13",,,-0.038027919,No,essential
Synpcc7942_2212,Not analyzed,,50S ribosomal protein L36,"rpmJ, rpl36",,,-0.001763448,No,essential
Synpcc7942_2213,Not analyzed,,adenylate kinase,adk,,,0.031291644,No,essential
Synpcc7942_2214,Not analyzed,,preprotein translocase subunit SecY,secY,,,-0.009318926,No,essential
Synpcc7942_2215,ND (below stat. threshold of conf.),0.367,50S ribosomal protein L15,N/A,1.48E-01,2.74E-01,-0.177456476,No,non-essential
Synpcc7942_2216,Not analyzed,,30S ribosomal protein S5,"rpsE, rps5",,,-0.125383284,No,essential
Synpcc7942_2217,Not analyzed,,50S ribosomal protein L18,"rplR, rpl18",,,-0.197373715,No,essential
Synpcc7942_2218,Not analyzed,,50S ribosomal protein L6,"rplF, rpl6",,,-0.186473846,No,essential
Synpcc7942_2219,Not analyzed,,30S ribosomal protein S8,"rpsH, rps8",,,-0.262441396,No,essential
Synpcc7942_2220,Not analyzed,,50S ribosomal protein L5,"rplE, rpl5",,,-0.101832808,Yes,essential
Synpcc7942_2221,Not analyzed,,50S ribosomal protein L24,"rpl24, rplX",,,-0.124951872,No,essential
Synpcc7942_2222,Not analyzed,,50S ribosomal protein L14,"rplN, rpl14",,,0.011105002,No,essential
Synpcc7942_2223,Not analyzed,,30S ribosomal protein S17,"rpsQ, rps17",,,0.152431039,No,essential
Synpcc7942_2224,Not analyzed,,50S ribosomal protein L29,rpl29,,,0.185191713,No,essential
Synpcc7942_2225,Not analyzed,,50S ribosomal protein L16,"rplP, rpl16",,,0.06507561,No,essential
Synpcc7942_2226,Not analyzed,,30S ribosomal protein S3,"rpsC, rps3",,,0.145719073,No,essential
Synpcc7942_2227,Not analyzed,,50S ribosomal protein L22,"rplV, rpl22",,,-0.011635738,No,essential
Synpcc7942_2228,Not analyzed,,30S ribosomal protein S19,"rpsS, rps19",,,0.024680169,No,essential
Synpcc7942_2229,Not analyzed,,50S ribosomal protein L2,"rplB, rpl2",,,0.13904592,No,essential
Synpcc7942_2230,Not analyzed,,50S ribosomal protein L23,"rplW, rpl23",,,0.08740092,No,essential
Synpcc7942_2231,Not analyzed,,50S ribosomal protein L4,"rplD, rpl4",,,0.066779714,No,essential
Synpcc7942_2232,Not analyzed,,50S ribosomal protein L3,"rplC, rpl3",,,0.098157076,No,essential
Synpcc7942_2233,ND (below stat. threshold of conf.),-0.028,Uncharacterized protein,N/A,8.65E-01,9.18E-01,-0.206990018,No,non-essential
Synpcc7942_2234,Not analyzed,,NADH dehydrogenase I subunit N,N/A,,,0.359549404,No,essential
Synpcc7942_2235,Not analyzed,,tRNA (guanine-N(1)-)-methyltransferase,trmD,,,0.222749661,No,essential
Synpcc7942_2236,ND (below stat. threshold of conf.),-0.072,ATPase,N/A,2.26E-01,3.70E-01,-0.171177016,No,non-essential
Synpcc7942_2237,Not analyzed,,hypothetical protein,N/A,,,0.424413127,No,non-essential
Synpcc7942_2238,ND (below stat. threshold of conf.),-0.010,Glucose transport protein,N/A,9.59E-01,9.76E-01,-0.938731346,No,non-essential
Synpcc7942_2239,ND (below stat. threshold of conf.),-0.088,Uncharacterized protein,N/A,5.85E-01,7.10E-01,0.112506542,No,non-essential
Synpcc7942_2240,ND (below stat. threshold of conf.),-0.327,Uncharacterized protein,N/A,3.77E-01,5.27E-01,0.512771217,No,ambiguous
Synpcc7942_2241,ND (below stat. threshold of conf.),-0.208,Uncharacterized protein,N/A,1.98E-02,5.83E-02,0.196840372,No,non-essential
Synpcc7942_2242,ND (below stat. threshold of conf.),0.040,Histidine kinase (EC 2.7.3.-),N/A,6.12E-01,7.32E-01,0.36159947,No,non-essential
Synpcc7942_2243,Moderate increase,0.774,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase),N/A,2.62E-11,3.47E-10,0.079799856,No,non-essential
Synpcc7942_2244,Not analyzed,,riboflavin synthase subunit beta,ribH,,,0.344710873,No,essential
Synpcc7942_2245,Not analyzed,,photosystem II reaction center protein PsbZ,psbZ,,,0.026746851,No,beneficial
Synpcc7942_2246,Negligable/minor,-0.441,Uncharacterized protein,N/A,4.01E-09,4.39E-08,0.066929859,No,beneficial
Synpcc7942_2247,Negligable/minor,-0.308,DNA mismatch repair protein MutS,N/A,1.33E-09,1.54E-08,0.071557044,No,non-essential
Synpcc7942_2248,Not analyzed,,bacterial nucleoid protein Hbs,himA,,,-0.750222631,No,essential
Synpcc7942_2249,ND (below stat. threshold of conf.),-0.420,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50),N/A,2.64E-03,1.08E-02,0.337511598,No,non-essential
Synpcc7942_2250,ND (below stat. threshold of conf.),-0.322,DNA replication and repair protein RecF,N/A,1.45E-02,4.44E-02,-0.205862607,No,non-essential
Synpcc7942_2251,Negligable/minor,0.485,Alr0113 (Ycf52)-like,N/A,1.22E-05,8.55E-05,0.199644969,No,non-essential
Synpcc7942_2252,Not analyzed,,phosphoenolpyruvate carboxylase,ppc,,,0.084010065,No,essential
Synpcc7942_2253,Decrease,-1.130,"Glutamate--cysteine ligase, putative",N/A,1.25E-32,7.09E-31,-0.333671284,No,non-essential
Synpcc7942_2254,ND (below stat. threshold of conf.),0.003,Uncharacterized protein,N/A,9.64E-01,9.78E-01,-0.927821724,Yes,non-essential
Synpcc7942_2255,ND (below stat. threshold of conf.),0.096,Uncharacterized protein,N/A,6.12E-01,7.32E-01,-0.144206091,No,non-essential
Synpcc7942_2256,ND (below stat. threshold of conf.),-0.118,Uncharacterized protein,N/A,1.24E-01,2.42E-01,-0.034077119,No,non-essential
Synpcc7942_2257,ND (below stat. threshold of conf.),0.085,Uncharacterized protein,N/A,7.74E-01,8.53E-01,-0.361169514,No,non-essential
Synpcc7942_2258,ND (below stat. threshold of conf.),-0.082,Aminotransferase (EC 2.6.1.-),N/A,2.59E-01,4.04E-01,0.126457574,No,non-essential
Synpcc7942_2259,Not analyzed,,16S rRNA-processing protein,rimM,,,0.140485769,No,beneficial
Synpcc7942_2260,ND (below stat. threshold of conf.),-0.387,Uncharacterized protein,N/A,2.44E-02,6.80E-02,1.250332238,No,non-essential
Synpcc7942_2261,ND (below stat. threshold of conf.),-0.097,Periplasmic divalent cation tolerance protein,N/A,4.88E-01,6.29E-01,0.141348725,No,non-essential
Synpcc7942_2262,Moderate increase,0.584,Uncharacterized protein,N/A,9.00E-26,3.75E-24,0.077183749,No,non-essential
Synpcc7942_2263,Not analyzed,,histidyl-tRNA synthetase,hisS,,,0.16137931,No,essential
Synpcc7942_2264,ND (below stat. threshold of conf.),-0.039,"Transcriptional regulator, LuxR family",N/A,8.64E-01,9.17E-01,0.301775919,No,non-essential
Synpcc7942_2265,Not analyzed,,glutamate-5-semialdehyde dehydrogenase,proA,,,-0.04039853,No,essential
Synpcc7942_2266,Negligable/minor,-0.248,Periplasmic polyamine-binding protein of ABC transporter,N/A,1.69E-04,9.64E-04,0.183626222,No,non-essential
Synpcc7942_2267,Decrease,-1.002,Uncharacterized protein,N/A,2.86E-06,2.19E-05,-3.686317364,No,non-essential
Synpcc7942_2268,Not analyzed,,hypothetical protein,N/A,,,0.465262954,No,essential
Synpcc7942_2269,Not analyzed,,hypothetical protein,N/A,,,0.034320013,No,essential
Synpcc7942_2270,ND (below stat. threshold of conf.),-0.160,Glucanase,N/A,3.22E-02,8.43E-02,0.06774521,No,non-essential
Synpcc7942_2271,ND (below stat. threshold of conf.),-0.154,ADP-ribose pyrophosphatase,N/A,2.15E-01,3.57E-01,0.032783653,No,non-essential
Synpcc7942_2272,Not analyzed,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,folK,,,-0.002805573,No,essential
Synpcc7942_2273,ND (below stat. threshold of conf.),-0.157,Uncharacterized protein,N/A,6.72E-02,1.50E-01,0.254284454,No,non-essential
Synpcc7942_2274,Not analyzed,,protoporphyrin IX magnesium-chelatase,"chlD, bchD",,,2.076937605,No,essential
Synpcc7942_2275,ND (below stat. threshold of conf.),0.205,Uncharacterized protein,N/A,3.64E-01,5.16E-01,0.026537597,No,non-essential
Synpcc7942_2276,ND (below stat. threshold of conf.),0.267,Uncharacterized protein,N/A,2.58E-02,7.08E-02,-0.025718146,No,non-essential
Synpcc7942_2277,ND (below stat. threshold of conf.),-0.534,Uncharacterized protein,N/A,1.12E-02,3.56E-02,0.545370938,No,non-essential
Synpcc7942_2278,ND (below stat. threshold of conf.),-0.165,Uncharacterized protein,N/A,1.13E-01,2.26E-01,0.004294603,No,non-essential
Synpcc7942_2279,ND (below stat. threshold of conf.),-0.078,Ammonium transporter,N/A,1.91E-01,3.31E-01,-1.034459524,No,non-essential
Synpcc7942_2280,ND (below stat. threshold of conf.),0.127,TPR repeat,N/A,1.02E-01,2.07E-01,0.191227126,No,non-essential
Synpcc7942_2281,Moderate decrease,-0.610,Uncharacterized protein,N/A,5.93E-15,1.06E-13,0.170345535,No,non-essential
Synpcc7942_2282,ND (below stat. threshold of conf.),-0.177,GAF sensor signal transduction histidine kinase (EC 2.7.3.-),N/A,2.72E-03,1.11E-02,-0.355002323,No,non-essential
Synpcc7942_2283,ND (below stat. threshold of conf.),-0.074,Uncharacterized protein,N/A,4.23E-01,5.75E-01,0.106620522,No,non-essential
Synpcc7942_2284,ND (below stat. threshold of conf.),-0.146,2-hydroxy-6-oxohepta-24-dienoate hydrolase,N/A,7.62E-02,1.64E-01,0.124547872,No,non-essential
Synpcc7942_2285,ND (below stat. threshold of conf.),0.014,Glycerol dehydrogenase,N/A,8.33E-01,8.95E-01,0.121472464,No,non-essential
Synpcc7942_2286,Not analyzed,,hypothetical protein,N/A,,,-0.148200438,No,essential
Synpcc7942_2287,Not analyzed,,hypothetical protein,N/A,,,-0.060275353,No,essential
Synpcc7942_2288,ND (below stat. threshold of conf.),0.012,Phosphatase kdsC (EC 3.1.3.45),N/A,9.31E-01,9.57E-01,-0.003881593,No,non-essential
Synpcc7942_2289,Not analyzed,,2-dehydro-3-deoxyphosphooctonate aldolase,"ccmA, kdsA",,,-0.072997801,No,essential
Synpcc7942_2290,Not analyzed,,3-deoxy-manno-octulosonate cytidylyltransferase,kdsB,,,-0.065041041,No,essential
Synpcc7942_2291,Not analyzed,,KpsF/GutQ family protein,N/A,,,0.12056897,No,essential
Synpcc7942_2292,Negligable/minor,0.406,Uncharacterized protein,N/A,7.52E-05,4.54E-04,-0.072800245,No,non-essential
Synpcc7942_2293,ND (below stat. threshold of conf.),0.502,Uncharacterized protein,N/A,3.11E-02,8.25E-02,0.129304932,No,non-essential
Synpcc7942_2294,ND (below stat. threshold of conf.),-0.035,Uncharacterized protein,N/A,6.15E-01,7.33E-01,0.251426288,No,non-essential
Synpcc7942_2295,Negligable/minor,0.415,Uncharacterized protein,N/A,6.71E-07,5.71E-06,0.192744874,No,non-essential
Synpcc7942_2296,Negligable/minor,-0.234,L-glutamine synthetase (EC 6.3.1.2),N/A,1.35E-04,7.83E-04,0.266774923,No,non-essential
Synpcc7942_1426,Not analyzed,,ribulose bisophosphate carboxylase,rbcL,,,0.28982342,No,essential
Synpcc7942_2298,ND (below stat. threshold of conf.),-0.385,Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),N/A,5.54E-02,1.30E-01,-0.060201853,No,beneficial
Synpcc7942_2299,ND (below stat. threshold of conf.),-0.320,30S ribosomal protein S15,N/A,4.71E-01,6.15E-01,0.188279455,No,beneficial
Synpcc7942_2300,ND (below stat. threshold of conf.),-0.295,Uncharacterized protein,N/A,8.02E-03,2.73E-02,0.084558821,No,non-essential
Synpcc7942_2301,ND (below stat. threshold of conf.),-0.326,Uncharacterized protein,N/A,2.75E-02,7.44E-02,-0.269034925,No,non-essential
Synpcc7942_2302,ND (below stat. threshold of conf.),-0.334,Uncharacterized protein,N/A,6.55E-02,1.47E-01,0.088819541,No,non-essential
Synpcc7942_2303,Not analyzed,,dihydropteroate synthase,folP,,,0.111266543,No,essential
Synpcc7942_2304,Not analyzed,,inorganic polyphosphate/ATP-NAD kinase,ppnK,,,0.19787104,No,beneficial
Synpcc7942_2305,Not analyzed,,"two component transcriptional regulator, winged helix family",nblR,,,0.110871375,No,non-essential
Synpcc7942_2306,Decrease,-1.177,Heat shock protein DnaJ-like,N/A,1.09E-03,5.02E-03,-1.717867711,No,non-essential
Synpcc7942_2307,ND (below stat. threshold of conf.),-0.426,Uncharacterized protein,N/A,2.39E-01,3.84E-01,-1.832210641,No,non-essential
Synpcc7942_2308,Increase,1.416,Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),gcvT,1.40E-22,5.03E-21,-0.812530516,No,non-essential
Synpcc7942_2309,ND (below stat. threshold of conf.),0.394,Thioredoxin peroxidase (Thioredoxin-peroxidase),N/A,2.20E-02,6.27E-02,0.214490726,No,non-essential
Synpcc7942_2310,Not analyzed,,"conserved hypothetical protein, L-2,4-diaminobutyrate decarboxylase",N/A,,,0.06484862,No,essential
Synpcc7942_2311,Not analyzed,,hypothetical protein,N/A,,,0.257224909,No,essential
Synpcc7942_2312,Not analyzed,,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,murG,,,-0.07532145,No,essential
Synpcc7942_2313,Not analyzed,,chaperonin GroEL,"groEL, groEL1, groL, groEL-2",,,-0.897460294,No,essential
Synpcc7942_2314,Not analyzed,,co-chaperonin GroES,"groES, groS, groESL1",,,-1.052887822,No,essential
Synpcc7942_2315,Not analyzed,,F0F1 ATP synthase subunit beta,"atpB, atpD",,,0.4642329,No,essential
Synpcc7942_2316,ND (below stat. threshold of conf.),-0.399,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),N/A,3.22E-01,4.75E-01,0.354762522,No,ambiguous
Synpcc7942_2317,Negligable/minor,-0.445,Probable copper-transporting ATPase SynA (EC 3.6.3.54),N/A,1.76E-11,2.36E-10,-0.424805125,No,non-essential
Synpcc7942_2318,ND (below stat. threshold of conf.),-0.176,Uncharacterized protein Synpcc7942_2318 (ORF 2),N/A,5.98E-02,1.38E-01,0.115572942,No,non-essential
Synpcc7942_2319,ND (below stat. threshold of conf.),-0.226,Uncharacterized HTH-type transcriptional regulator Synpcc7942_2319 (ORF 1),N/A,2.21E-01,3.63E-01,-0.645337578,No,non-essential
Synpcc7942_2320,Not analyzed,,hypothetical protein,N/A,,,-0.25971428,Yes,beneficial
Synpcc7942_2321,Not analyzed,,photosystem I assembly protein Ycf3,ycf3,,,-0.240463917,No,essential
Synpcc7942_2322,Not analyzed,,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C,gatC,,,-0.275884089,No,essential
Synpcc7942_2323,Moderate increase,0.672,"Glutaredoxin, GrxC",N/A,3.69E-04,1.97E-03,-0.031304987,No,non-essential
Synpcc7942_2324,Increase,1.106,Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase),gshB,3.86E-18,9.03E-17,0.396974505,No,non-essential
Synpcc7942_2325,Negligable/minor,-0.430,PBS lyase HEAT-like repeat,N/A,3.65E-05,2.35E-04,0.160693043,No,non-essential
Synpcc7942_2326,ND (below stat. threshold of conf.),-0.029,Uncharacterized protein,N/A,8.01E-01,8.72E-01,-1.649079226,No,non-essential
Synpcc7942_2327,Not analyzed,,hypothetical protein,N/A,,,0.171957841,No,essential
Synpcc7942_2328,ND (below stat. threshold of conf.),-0.002,TPR repeat,N/A,9.75E-01,9.84E-01,-0.141211133,No,non-essential
Synpcc7942_2329,Negligable/minor,-0.293,Metal dependent phosphohydrolase,N/A,3.86E-05,2.46E-04,0.002798614,No,non-essential
Synpcc7942_2330,Not analyzed,,C-terminal processing peptidase-2. Serine peptidase. MEROPS family S41A,ctpA,,,-0.042154793,No,essential
Synpcc7942_2331,Not analyzed,,cytochrome b6,petB,,,0.33530274,No,essential
Synpcc7942_2332,Not analyzed,,cytochrome b6-f complex subunit 4,petD,,,0.041145959,No,essential
Synpcc7942_1427,Not analyzed,,"ribulose 1,5-bisphosphate carboxylase small subunit",rbcS,,,-0.001757602,No,essential
Synpcc7942_1443,Not analyzed,,"fructose-1,6-bisphosphate aldolase",fba,,,-0.105381821,No,essential
Synpcc7942_1742,Not analyzed,,glyceraldehyde-3-phosphate dehydrogenase,"gap2, gap",,,0.408263958,Yes,essential
Synpcc7942_2336,ND (below stat. threshold of conf.),-0.175,Uncharacterized protein,N/A,5.62E-01,6.94E-01,-4.770695629,No,non-essential
Synpcc7942_2337,ND (below stat. threshold of conf.),-0.084,"N-acetylmuramoyl-L-alanine amidase, family 2",N/A,4.36E-01,5.88E-01,0.062241275,No,non-essential
Synpcc7942_2338,Moderate increase,0.972,Uncharacterized protein,N/A,1.42E-20,4.02E-19,0.635376185,No,non-essential
Synpcc7942_2339,Not analyzed,,"RfaE bifunctional protein, domain I",rfaE,,,0.334566764,No,essential
Synpcc7942_2340,Not analyzed,,GTP-binding protein EngA,engA,,,0.056820113,No,essential
Synpcc7942_2341,Not analyzed,,cobalt transport system permease protein,N/A,,,-0.052139416,No,essential
Synpcc7942_2342,Not analyzed,,photosystem I reaction center protein subunit XI,psaL,,,0.239209174,Yes,beneficial
Synpcc7942_2343,Not analyzed,,photosystem I reaction center subunit VIII,psaI,,,0.164674381,No,ambiguous
Synpcc7942_2344,Negligable/minor,-0.251,Uncharacterized protein,N/A,1.54E-03,6.81E-03,0.070861177,No,non-essential
Synpcc7942_2345,Not analyzed,,hypothetical protein,ycf65,,,-0.208234791,No,essential
Synpcc7942_2346,Not analyzed,,HAD-superfamily subfamily IA,hisB,,,-0.325983555,No,essential
Synpcc7942_2347,Negligable/minor,0.437,Uncharacterized protein,N/A,3.16E-08,3.21E-07,0.080921561,No,non-essential
Synpcc7942_2348,Increase,1.001,S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA),queA,4.26E-27,1.81E-25,0.077890996,No,non-essential
Synpcc7942_2349,Moderate decrease,-0.615,Twitching motility protein,N/A,1.80E-08,1.88E-07,0.106764921,No,non-essential
Synpcc7942_2350,Negligable/minor,-0.305,Translation factor SUA5,N/A,1.10E-03,5.07E-03,-0.079638941,No,non-essential
Synpcc7942_2351,ND (below stat. threshold of conf.),-0.198,UPF0272 protein Synpcc7942_2351,N/A,1.49E-01,2.75E-01,0.172710753,No,non-essential
Synpcc7942_2352,ND (below stat. threshold of conf.),-0.041,Sigma 54 modulation protein / SSU ribosomal protein S30P,N/A,7.83E-01,8.60E-01,-1.372230494,No,non-essential
Synpcc7942_2353,Not analyzed,,lipoyltransferase,lipB,,,0.017487235,No,essential
Synpcc7942_2354,ND (below stat. threshold of conf.),-0.034,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),N/A,7.90E-01,8.65E-01,0.1241471,Yes,non-essential
Synpcc7942_2355,ND (below stat. threshold of conf.),0.636,Uncharacterized protein,N/A,1.11E-02,3.56E-02,-0.193898848,No,non-essential
Synpcc7942_2356,ND (below stat. threshold of conf.),-0.106,"Transcriptional regulator, Crp/Fnr family",N/A,3.04E-01,4.57E-01,0.764646883,No,non-essential
